Extension	File type description
taac	Sun TAAC bitmap image
tbn	XBMC folder thumnail file
tc2	TurboCAD 2D drawing file
tdi	Alias Wavefront image
tdim	Digital F/X image format
tdp	Sherif DrawPlus Thumbnail file
tdt	AVHCD thumbnail image file
tex	Corel PaintShop Photo Pro texture file
tga	Truevision TarGA bitmap image
thm	Thumbnail bitmap image file
thn	Graphics Workshop for Windows thumbnail
thnl	Graphics Workshop for Windows thumbnail file
thumb	JAlbum thumbnail file
tif	Aldus Tagged Image File Format (TIFF) bitmap image
tif	BigTIFF image file
tiff	Aldus Tagged Image File Format (TIFF) bitmap image
tim	Sony PlayStation bitmap image
tim	Tagged Image file format
tm2	Playstation 2 TIM2 Bitmap file
tn	LG encoded JPG image file
tn1	Tiny bitmap image file
tn2	Tiny bitmap image file
tn3	Tiny bitmap image file
tny	TiNY bitmap image
tpic	TrueVision TARGA image file
trif	TRIF Tiled Raster Interchange Format bitmap file
u	Subsampled raw YUV bitmap image
udi	CorelDRAW draw script textures bitmap file
ufo	Ulead PhotoImpact object file
ufp	Ulead photo project file
ug	Drawing file
uil	X-Motif UIL icon file Bitmap image
ulg	ULG bitmap file
umd	UMD Photobook file
upf	Nokia Phone digital photo file
upx	Ulead Photo Express saved image file
urt	Utah Run-Length encoded bitmap image file
v	Subsampled raw YUV bitmap image
vbc	Visual Business Cards file
vbm	V IDE bitmap file
vbm	Video bitmap file
vclip	VinylMaster clipart file
vda	Truevision Targa bitmap image
vda	Video Display Adapter image format
vdi	Digital Research GEM VDI bitmap image
vdr	ComputerEasy Draw
vff	DESR VFF greyscale bitmap image
vff	Sun TAAC bitmap image file
vfl	PrintMaster Gold ClipArt file
vga	OS/2 bitmap image
vga	Microsoft Windows bitmap image
vgr	Ventura Publisher bitmap file
vi	Jovian Logic VI bitmap image
vic	Vicar graphics file
vid	YUV12C M-Motion Frame Buffer file
vif	Verity 1bit CCITT Group 4 bitmap image
vif	Khoros Visualization bitmap image
viff	Khoros Visualization bitmap image
vik	Viking graphics
vit	VITec scanner raster format
vlogo	VinylMaster logo file
vpe	Photoshop Extended Vanishing point file
vst	Vista Truevision Targa bitmap image
vsw	Microsoft Office Visio 2010 web drawing file
vwf	CADvance Drawing File
vzn	Windows VZN Image File
wap	Wireless bitmap (level 0) image format
wbm	Wireless Bitmap image format
wbmp	Wireless Bitmap image format
wdp	Windows Media HD Photo
webp	Google image file format
whip	WHIP Bitmap image
wi	Wavelet image file
wic	J Wavelet Image Codec image format
win	Truevision Targa bitmap image file
wlm	CompW image format file
wmf2	Embedded Bitmap metafile
wmp	Microsoft Windows Media HD Photo file
wnk	Wink screen capture file
wsq	Wavelet-packet Scalar Quantization bitmap file
wvl	Wavelet Bitmap Picture
x	Stardent AVS X bitmap image file
x-png	Portable (Public) Network Graphic bitmap file
x10	X Window bitmap dump file
x11	X Window bitmap image file
x3f	Sigma Camera RAW picture file
xbm	X Windows system bitmap image
xbx	Xbox icon or picture file
xc	X Server Constant Screen image file
xcf	GIMP XCF bitmap image file
xim	X11 Xim Toolkit bitmap file
xjt	Compressed GIMP image file
xos	Xaos Tools bitmap image
xpm	Image file
xpng	Portable (Public) Network Graphic bitmap file
xv	Khoros Visualization bitmap image file
xwd	X Windows window screen dump or bitmap
y	Subsampled raw YUV bitmap image
ybm	Face bitmap image
ycc	2d Graphic file
yuv	YUV 16Bits image format
zbm	Zlib compressed bitmap file
zgm	Zenographics bitmap image file
zif	Zooming Interface Format
zxp	ZX-Paintbrush document
[b]	Amiga paint image file
~re	Image file
